,Tweets,id,lens,date,place,coordinateS,lang,source,likes,retweets
10,b'@kennedytcooper Thats why the government only plants male trees. #sexism #girlpower #pollinationrights',1389646127780171776,102,2021-05-04 18:20:29,,,en,Twitter for Android,1,0
11,"b""RT @DingaBelle: \xf0\x9f\x91\x8b Targeted #50sWomen's (lives of constant #Patriarchy #Misogyny #Discrimination #Sexism #Ageism #Inequality) = #StatePensio\xe2\x80\xa6""",1389641411067367428,140,2021-05-04 18:01:45,,,en,Twitter for iPad,0,10
12,b'RT @DingaBelle: \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87 Love this brilliant/informative Thread @KrisGibson13 \xf0\x9f\x91\x8d\n\n#50sWomen lived with constant #Patriarchy #Misogyny #Sexism #Di\xe2\x80\xa6',1389638295945109507,140,2021-05-04 17:49:22,,,en,Twitter for iPhone,0,20
13,b'RT @DingaBelle: \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87 Love this brilliant/informative Thread @KrisGibson13 \xf0\x9f\x91\x8d\n\n#50sWomen lived with constant #Patriarchy #Misogyny #Sexism #Di\xe2\x80\xa6',1389630509706354689,140,2021-05-04 17:18:26,,,en,Twitter for iPad,0,20
14,"b'RT @FiLiA_charity: It is true that in the wake of the Sarah Everard murder, the Council is once again looking to sign up for White Ribbon s\xe2\x80\xa6'",1389627405921312776,140,2021-05-04 17:06:06,,,en,Twitter Web App,0,8
15,b'How many people commented on your appearance on a Work Video chat today?! \n\nI\xe2\x80\x99ll start... TWO! Both DUDES! \n\n#WorkFromHome #videochat #sexism',1389623998661677065,141,2021-05-04 16:52:33,,,en,Twitter for iPhone,0,0
16,"b'@TravelingWithS 2) \xe2\x80\xa6 Some part of the pay gap can be explained by women being more likely to take time off to care for new children &amp; such, but I don\xe2\x80\x99t buy argument it can be justified by them doing different jobs. Who chose the people for these positions? Mostly men. #Sexism'",1389623082596323328,280,2021-05-04 16:48:55,,,en,Twitter for iPad,1,0
17,"b'@TravelingWithS 1) &amp; still. During 2020, 7.4%\xe2\x80\x9438 out of 500\xe2\x80\x93of Fortune 500 companies were led by woman CEOs. During 2016 even at the White House women were paid 16% less than men. On bright side percentage obtaining MBAs &amp; similar stepping stones to leadership way up. \xe2\x80\xa6 #Sexism'",1389620566991282180,286,2021-05-04 16:38:55,,,en,Twitter for iPad,1,0
18,b'We still object to @EdinRapeCrisis employing a trans Identified male to run a service for female rape victims. Doesn\xe2\x80\x99t matter how much you try and silence us. You are just proving your internalised misogyny by silencing women #patriarchy #sexism #handmaidens https://t.co/U5y7pOskjy',1389615949679153152,282,2021-05-04 16:20:34,,,en,Twitter for iPhone,6,0
19,b'RT @BRAINCURES: The #Sexism Of Science And The #Science Of Sexism\n\nhttps://t.co/rE0F0zpvjH\n\n#SexismInSTEM @GeorginaRdeM @DrSeaRotmann @Wome\xe2\x80\xa6',1389614315565690884,140,2021-05-04 16:14:05,,,en,Twitter for iPad,0,21
20,"b'RT @FiLiA_charity: It is true that in the wake of the Sarah Everard murder, the Council is once again looking to sign up for White Ribbon s\xe2\x80\xa6'",1389611970236723203,140,2021-05-04 16:04:46,,,en,Twitter for Android,0,8
21,b'Two Ohio bills would ban transgender girls from female sports https://t.co/yGSUtLh8lz via @DispatchAlerts #Ohio #Transphobia #Sexism',1389610049014800386,132,2021-05-04 15:57:08,,,en,Twitter Web App,0,0
22,"b'RT @FiLiA_charity: It is true that in the wake of the Sarah Everard murder, the Council is once again looking to sign up for White Ribbon s\xe2\x80\xa6'",1389609720869228546,140,2021-05-04 15:55:49,,,en,Twitter Web App,0,8
23,"b'RT @bircantub: Everyday #sexism and #racism is eminent in #academia and they should be pronounced more boldly by us, the researchers, too!'",1389605437100658688,138,2021-05-04 15:38:48,,,en,Twitter for iPhone,0,1
24,b'This is the ugly truth that we have to accept and change!!\n#ClimateCrisis #sexism #stopracism #speciesism #ActOnClimate https://t.co/07Zib6F1P4',1389601793890471938,143,2021-05-04 15:24:19,,,en,Twitter for Android,1,0
25,"b'RT @FiLiA_charity: It is true that in the wake of the Sarah Everard murder, the Council is once again looking to sign up for White Ribbon s\xe2\x80\xa6'",1389588336361234433,140,2021-05-04 14:30:51,,,en,Twitter for iPad,0,8
26,b'@elagnab @liz6153 @Prospectally2 @ripx4nutmeg @Edinburgh_CC So @Edinburgh_CC are installing facilities for Men and instigating the unrinary leash on to Women who know voyuers and predatory men will enact their paraphillias at every opportunity. #Misogyny #Sexism #Abuse',1389587193191178242,269,2021-05-04 14:26:18,,,en,Twitter for iPad,2,1
27,b'How Anne Bancroft Became Hollywood\xe2\x80\x99s Ultimate Seductress?   \xf0\x9f\x92\x84\xf0\x9f\x91\x97\xf0\x9f\x8e\xac https://t.co/y6LSicmMfd #hollywood #actress #like #nice #style #fashion #acting #video #womeninfilm #oscar #industry #sexism #annebancroft #look #mua #talent #culture #beauty #artist #movies #images #edits',1389584954976358404,269,2021-05-04 14:17:25,,,en,Twitter for iPhone,0,0
28,"b""RT @CatalystInc: Reality: Black women face biases and challenges that White women do not. It's important to understand the intersections of\xe2\x80\xa6""",1389584908323000330,140,2021-05-04 14:17:14,,,en,Twitter for iPhone,0,2
29,"b""RT @CatalystInc: Reality: Black women face biases and challenges that White women do not. It's important to understand the intersections of\xe2\x80\xa6""",1389583552610713600,140,2021-05-04 14:11:50,,,en,Twitter for iPhone,0,2
30,b'RT @LiveDMA: \xf0\x9f\x9f\xa1A real discrepancy implemented by explicit or implicit structural #sexism is still driving a big wedge in the #livemusic sect\xe2\x80\xa6',1389581961145036809,140,2021-05-04 14:05:31,,,en,Twitter Web App,0,1
31,"b""Reality: Black women face biases and challenges that White women do not. It's important to understand the intersections of #sexism AND #racism. https://t.co/NIuPSq3CZe""",1389581852395155457,167,2021-05-04 14:05:05,,,en,Hootsuite Inc.,7,2
32,"b'Acclaimed short story writer chronicled #racisminamerica , #sexism, sexual harassment, and #immigrant disconnect. Our history repeats itself. #AAPI \nhttps://t.co/p58hFq9bAT'",1389572483137867777,172,2021-05-04 13:27:51,,,en,Twitter Web App,0,0
33,b'@mfstern @AprilThemisIs Because #gopWarOnWomen #toxicMasculinity #sexism #misogyny',1389569542897115137,82,2021-05-04 13:16:10,,,en,Twitter for iPhone,1,0
34,b'@kylegriffin1 @smartdissent #JudgeRudolphContreras #toxicMasculinity #sexism #misogyny',1389568972945645571,86,2021-05-04 13:13:54,,,und,Twitter for iPhone,3,0
35,"b""RT @SaddlerSue: \xf0\x9f\x92\xa5\xc2\xa348k Stolen by Govt from #50sWomen =6 years SP @BorisJohnson\n\nEffects:\n\xf0\x9f\x92\xa5Partner suffers too\n\xf0\x9f\x92\xa5No 'Nanny Duties' \n\xf0\x9f\x92\xa5No Charit\xe2\x80\xa6""",1389567313783971840,140,2021-05-04 13:07:19,,,en,Twitter for iPhone,0,29
36,b'RT @AslansKompis: @JohanIngero Hur m\xc3\xa5nga manliga partiledare skulle det skrivas s\xc3\xa5d\xc3\xa4r om? P\xc3\xa5 sin h\xc3\xb6jd kommenteras f\xc3\xa4rg p\xc3\xa5 slipsen.\n#sexism',1389566754922409986,138,2021-05-04 13:05:05,,,sv,Twitter for iPhone,0,1
37,"b'\xf0\x9f\x9f\xa1A real discrepancy implemented by explicit or implicit structural #sexism is still driving a big wedge in the #livemusic sector. Our members are working hard on these issues, publishing some guides and tools to help venues and festivals: https://t.co/DoS8Ejp8XB\n\n#genderequality https://t.co/T4Dk9M3dqi'",1389566559803293698,303,2021-05-04 13:04:19,,,en,Twitter Web App,2,1
38,"b'Everyday #sexism and #racism is eminent in #academia and they should be pronounced more boldly by us, the researchers, too! https://t.co/1dVbGdj0FQ'",1389565499483336708,147,2021-05-04 13:00:06,,,en,Twitter Web App,7,1
39,"b'Egoism is the extreme corruption of #individualism. Tribalism (#racism, #sexism, etc.) is the extreme corruption of #collectivism.\nThe cure for egoism is collectivism. The cure for tribalism is individualism.\n\nExtreme problems require moderate solutions.'",1389564827652149249,254,2021-05-04 12:57:26,,,en,Twitter for Android,0,0
40,b'RT @shada_islam: @vonderleyen made a great speech at the @EuropeanParl last week in which she denounced #sexism &amp; very rightly condemned #L\xe2\x80\xa6',1389563880733609999,144,2021-05-04 12:53:40,,,en,Twitter for Android,0,18
41,"b""Elizabeth Warren's problem: #Massachusetts is the most educated state. It's an outlier. Her problem isn't #sexism, but #education-ism: College educated men like her, non-college-educated women don't.""",1389553444822917120,199,2021-05-04 12:12:12,"Place(_api=<tweepy.api.API object at 0x7f2dd8f09e20>, id='000829b517fc66b2', url='https://api.twitter.com/1.1/geo/id/000829b517fc66b2.json', place_type='city', name='Mamaroneck', full_name='Mamaroneck, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f2dd8f09e20>, type='Polygon', coordinates=[[[-73.772692, 40.919044], [-73.713636, 40.919044], [-73.713636, 40.982365], [-73.772692, 40.982365]]]), attributes={})",,en,Twitter for Android,0,0
42,b'Looking forward to moderate this session! Not an expert at all on #sexism and #ageism and their intersections but  very interested to learn more about this! https://t.co/AhlwyjlEdh',1389548469107445763,180,2021-05-04 11:52:26,,,en,Twitter Web App,4,0
43,b'RT @DingaBelle: \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87 Love this brilliant/informative Thread @KrisGibson13 \xf0\x9f\x91\x8d\n\n#50sWomen lived with constant #Patriarchy #Misogyny #Sexism #Di\xe2\x80\xa6',1389546178262536197,140,2021-05-04 11:43:20,,,en,Twitter Web App,0,20
44,"b'RT @FiLiA_charity: It is true that in the wake of the Sarah Everard murder, the Council is once again looking to sign up for White Ribbon s\xe2\x80\xa6'",1389544218872455175,140,2021-05-04 11:35:32,,,en,Twitter for Android,0,8
45,"b'RT @FiLiA_charity: It is true that in the wake of the Sarah Everard murder, the Council is once again looking to sign up for White Ribbon s\xe2\x80\xa6'",1389544142204715010,140,2021-05-04 11:35:14,,,en,Twitter Web App,0,8
46,"b'It is true that in the wake of the Sarah Everard murder, the Council is once again looking to sign up for White Ribbon status for the city. It is time for Portsmouth to step up and declare an end to lap dancing.\n\n#Sexism #PortsmouthCouncil #EndDemand\n\nhttps://t.co/sqfZCbVMY6'",1389541664365191175,275,2021-05-04 11:25:23,,,en,SmarterQueue,13,8
47,b'RT @DingaBelle: \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87 Love this brilliant/informative Thread @KrisGibson13 \xf0\x9f\x91\x8d\n\n#50sWomen lived with constant #Patriarchy #Misogyny #Sexism #Di\xe2\x80\xa6',1389534745726537728,140,2021-05-04 10:57:54,,,en,Twitter for Android,0,20
48,"b'@mama_c2 #WhiteSupremacy , #Sexism, #Misogyny , #Oligarchy,  #Authoritarians,  #WhitePrivilege, #Homophobia, #Transphobia, #Inequality , #ReligiousZealotry, #ToxicMasculinity - the list of what #Conservatives conserve is long and vile.'",1389530298858328066,235,2021-05-04 10:40:14,,,en,Twitter for Android,0,0
49,b'RT @FemMaastricht: We are organising an event with the Feminists of Maastricht (FoM) on the intersections of #sexism and #ageism\xf0\x9f\x92\xab\n\n\xf0\x9f\x93\x85 May 6\xe2\x80\xa6',1389526443185557504,139,2021-05-04 10:24:54,,,en,Twitter for Android,0,1
50,b'We are organising an event with the Feminists of Maastricht (FoM) on the intersections of #sexism and #ageism\xf0\x9f\x92\xab\n\n\xf0\x9f\x93\x85 May 6\n\xe2\x8c\x9a\xef\xb8\x8f 19:00 CEST\n\nHow do you think and feel about or act towards age and aging? Join the discussion!\n\nRegister through the link \xf0\x9f\x91\x87\nhttps://t.co/5NicckdOuL',1389525011908775944,270,2021-05-04 10:19:13,,,en,Twitter Web App,5,1
51,b'RT @BRAINCURES: The #Sexism Of Science And The #Science Of Sexism\n\nhttps://t.co/rE0F0zpvjH\n\n#SexismInSTEM @GeorginaRdeM @DrSeaRotmann @Wome\xe2\x80\xa6',1389518216557481990,140,2021-05-04 09:52:13,,,en,Twitter for iPad,0,21
52,"b""IUNO are hosting a free online event focusing on #diversity and #equality in the workplace in the Nordic Region. Among other things, we will discuss gender pay gap and pay #discrimination and #sexism. The event is free of charge so don't forget to sign up: https://t.co/iyGKZSQtjv""",1389511382106791937,280,2021-05-04 09:25:04,,,en,Twitter Web App,0,0
53,b'@JohanIngero Hur m\xc3\xa5nga manliga partiledare skulle det skrivas s\xc3\xa5d\xc3\xa4r om? P\xc3\xa5 sin h\xc3\xb6jd kommenteras f\xc3\xa4rg p\xc3\xa5 slipsen.\n#sexism',1389508668551479296,120,2021-05-04 09:14:17,,,sv,Twitter Web App,8,1
54,b'#sexism #racism #misogyny',1389508651069677569,25,2021-05-04 09:14:12,,,und,Twitter for iPhone,0,0
55,b'RT @DingaBelle: \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87 Love this brilliant/informative Thread @KrisGibson13 \xf0\x9f\x91\x8d\n\n#50sWomen lived with constant #Patriarchy #Misogyny #Sexism #Di\xe2\x80\xa6',1389498374127243265,140,2021-05-04 08:33:22,,,en,Twitter for Android,0,20
56,"b'RT @KetraSchmitt: SO infuriating, so gross. This poor kid.\n\nhttps://t.co/8K1pGuFjcR\n\n#misogynoir #letgirlsbekids #sexism'",1389495553529192450,120,2021-05-04 08:22:10,,,en,Twitter for iPhone,0,1
57,b'But like what percentage of #trolls are men? \n\nif it\xe2\x80\x99s not #sexism why are ONLY men ever trolling me? And why doesn\xe2\x80\x99t it happen to my male friends? And how many licks did it take to get to the center of the tootsie pop? #QuestionsThatMatter',1389490266113982466,240,2021-05-04 08:01:09,,,en,Twitter for iPhone,0,0
58,"b'@dup_online @duponline Having led a party steeped in discrimination, #sectarianism, #homophobia and #sexism, poor #ArleneFoster now claims the latter in her demise (conveniently ignores paramilitary pressure on #DUP MLAs to ditch her\n\nThe #ironymeter is broken\n\n@DUPleader\n#StitchedupbyBoris\n#DUPedAgain https://t.co/AQpZulDCLN'",1389489835052871684,327,2021-05-04 07:59:26,,,en,Twitter for iPad,0,0
59,b'@janboehm hatte offenbar sein letztes Update vor 20 Jahren. Scheidung ist ein h\xc3\xa4ufig genutztes AddOn zur Emanzipation und kein Fehler im System. #bluescreen #Vintage #sexismus #sexism',1389489535705305090,183,2021-05-04 07:58:15,,,de,Twitter for iPhone,0,0
60,b'@JuliaGillard landmark speech re #sexism \nHow wrong was some initial media reaction \xf0\x9f\x91\x87 https://t.co/OK2tR8Vvc3',1389488071301767169,109,2021-05-04 07:52:26,,,en,Twitter for iPhone,1,0
61,b'RT @ScientistFemale: A great text about the influences of daily #sexism on #womeninscience! #haressment #sexualassault \n\n         https://t\xe2\x80\xa6',1389482363403579396,140,2021-05-04 07:29:45,,,en,WomenInExcellence,0,3
62,b'RT @ScientistFemale: A great text about the influences of daily #sexism on #womeninscience! #haressment #sexualassault \n\n         https://t\xe2\x80\xa6',1389482341597335553,140,2021-05-04 07:29:40,,,en,Twitter for Android,0,3
63,b'CIA Goes Woke\n#liberal #conservative #republican #politics #democrat #MAGA #democrats #libertarian #America #USA #freedom #socialism #capitalism #communism #Sexism #Feminism #Feminist #Feminists #Liberal #Republican #LoveTrumpsFeelings #ImposterSyndrome #AmalaEkpunobi #WillWitt',1389481222087270402,278,2021-05-04 07:25:13,,,en,Twitter Web App,0,0
64,b'#liberal #conservative #republican #politics #democrat #MAGA #democrats #libertarian #America #USA #freedom #socialism #capitalism #communism #Sexism #Feminism #Feminist #Feminists #Liberal #Republican #LoveTrumpsFeelings #ImposterSyndrome #AmalaEkpunobi #WillWitt #PragerU\n\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87',1389480393355706369,277,2021-05-04 07:21:55,,,und,Twitter Web App,0,0
65,"b""Three days away from Social Media supporting #football against #racism &amp; #Sexism. Gagging to say; pitch perfect end to @Line_of_duty #LOD6, bumbling idiot makes his way up the ranks to a position where he can scam money out of a system run by people who don't care. Roll on S7!""",1389479387884556288,281,2021-05-04 07:17:56,,,en,Twitter Web App,8,0
66,b'@yashar @Edward_Enninful @billieeilish @BritishVogue @BritishVogue We are fed up with magazines selling women male fantasies of what women should look like. Can you not tell by the loss of sales. Loosing weight does NOT make you a better or more attractive woman. \n#sexism #misogyny #patriarchy',1389479122251001856,294,2021-05-04 07:16:52,,,en,Twitter for iPhone,0,0
67,"b""RT @CatalystInc: Learn what #MasculineAnxiety is, how prevalent it is, and how it connects to men's willingness to challenge #workplace #se\xe2\x80\xa6""",1389447582758445056,140,2021-05-04 05:11:33,,,en,Twitter Web App,0,7
68,"b'Hey all! Here\'s a post you might\'ve missed! Read about....""Dear Democrats, We Need To Talk About Sexism.""  https://t.co/h0TA9ZFbhS #DNC #Sexism #Vote2020 #Primary2020 #VoteBlue'",1389435784781041664,176,2021-05-04 04:24:40,,,en,Penname,0,0
69,"b""Happy #WomensHistoryMonth Let's Uplift Women Everyday of the Year!! Video/Short Film https://t.co/H2s0bcRxBR &lt; Dedicated to Women fighting Everyday for Respect against #Sexism, #Violence #Oppression #MeToo @ADopefemaleMC @SanQuinn @HipHopCongress @RDVpromo""",1389435130272485378,259,2021-05-04 04:22:04,,,en,FanBridge,0,0
70,b'RT @DingaBelle: \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87 Love this brilliant/informative Thread @KrisGibson13 \xf0\x9f\x91\x8d\n\n#50sWomen lived with constant #Patriarchy #Misogyny #Sexism #Di\xe2\x80\xa6',1389431429331828736,140,2021-05-04 04:07:21,,,en,Twitter for iPhone,0,20
71,b'RT @rkd993: @reclaimthenews @EmergencyBK #StayStrong Watch out for every dirty trick in the book to be used against you and the movement. T\xe2\x80\xa6',1389425279269937154,140,2021-05-04 03:42:55,,,en,Twitter for iPad,0,5
72,b'@MsCharlotteWWE Queen of #sexism #stickfigure #boycottcharlotteflair',1389418950228852736,68,2021-05-04 03:17:46,,,en,Twitter for Android,0,0
73,"b""@instagram @Facebook why is it that reporting these fake profiles doesn't actually do anything? Here we have a professional female artist who relies on her public image and we can't get anyone to do anything about this? \n#fake #instagram #sexism #problematic https://t.co/nekN4x3fzs""",1389416264012124161,282,2021-05-04 03:07:06,,,en,Twitter Web App,0,0
74,"b'Tough call between below neighbours &amp; @theSNP but it is the SNP that takes the title of biggest #Bigots Scotland #homophobia #xenophobia #racism #sexism &amp; so on, they win all areas. @NicolaSturgeon is fully aware of major problems but ignores them. This is my personal experience'",1389413602193547271,287,2021-05-04 02:56:31,,,en,Twitter Web App,0,0
75,b'#meme #offensivememes #meme #offensivememes #political #funny #mgtow #comedy #antifa #Communist #feminist #racism #sexism #homophobia https://t.co/C8KT6YdMIX',1389413124420378624,157,2021-05-04 02:54:37,,,und,Twitter for Android,2,0
76,b'#meme #offensivememes #meme #offensivememes #political #funny #mgtow #comedy #antifa #Communist #feminist #racism #sexism #homophobia https://t.co/lAofaDb97A',1389413055809925120,157,2021-05-04 02:54:21,,,und,Twitter for Android,0,0
77,b'#meme #offensivememes #meme #offensivememes #political #funny #mgtow #comedy #antifa #Communist #feminist #racism #sexism #homophobia https://t.co/MHse55LyA6',1389412508872622080,157,2021-05-04 02:52:10,,,und,Twitter for Android,0,0
78,b'#meme #offensivememes #meme #offensivememes #political #funny #mgtow #comedy #antifa #Communist #feminist #racism #sexism #homophobia https://t.co/B6N4C4r20W',1389412349363331073,157,2021-05-04 02:51:32,,,und,Twitter for Android,1,0
79,b'#meme #offensivememes #meme #offensivememes #political #funny #mgtow #comedy #antifa #Communist #feminist #racism #sexism #homophobia https://t.co/KyxX7V3jPF',1389412280564129795,157,2021-05-04 02:51:16,,,und,Twitter for Android,2,0
80,b'RT @rkd993: @reclaimthenews @EmergencyBK #StayStrong Watch out for every dirty trick in the book to be used against you and the movement. T\xe2\x80\xa6',1389411868381388802,140,2021-05-04 02:49:38,,,en,Twitter for iPad,0,5
81,b'Reduce a car to your wife and talk about \xe2\x80\x98mileage\xe2\x80\x99! \xf0\x9f\x98\xa1 Real classy Indian influencer men \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbe #misogyny #sexism #NotFunny https://t.co/XyOQmdsonm',1389389835778068485,142,2021-05-04 01:22:05,,,en,Twitter for iPhone,0,0
82,b'#sexism #racism  #casteism are habitual norms of Indian society.',1389388988796981254,64,2021-05-04 01:18:43,,,en,Twitter for Android,0,0
83,"b""Some men are good but they're few &amp; far in between. Good men, use your voices. #lgbtq #feminism #comedy #lol #funny #misogyny #sexism #men #lesbian https://t.co/5NEvuex53g""",1389382593662136320,175,2021-05-04 00:53:18,,,en,Twitter for Android,1,0
84,b'RT @rkd993: @reclaimthenews @EmergencyBK #StayStrong Watch out for every dirty trick in the book to be used against you and the movement. T\xe2\x80\xa6',1389382124981997572,140,2021-05-04 00:51:26,,,en,Twitter for Android,0,5
85,b'RT @rkd993: @reclaimthenews @EmergencyBK #StayStrong Watch out for every dirty trick in the book to be used against you and the movement. T\xe2\x80\xa6',1389376107774763012,140,2021-05-04 00:27:32,,,en,Twitter Web App,0,5
86,"b'@MMFlint Police are sexist - killing mostly men.  Mostly white men, yet for some reason we focus on just the death of #blacklives   This is an slaughtering of men by police, stop the #sexism now!!!!'",1389375641695436800,198,2021-05-04 00:25:40,,,en,Twitter for iPhone,0,0
87,"b""RT @DingaBelle: \xf0\x9f\x91\x8b Targeted #50sWomen's (lives of constant #Patriarchy #Misogyny #Discrimination #Sexism #Ageism #Inequality) = #StatePensio\xe2\x80\xa6""",1389373608149983233,140,2021-05-04 00:17:36,,,en,Twitter for iPhone,0,10
88,"b""RT @DingaBelle: \xf0\x9f\x91\x8b Targeted #50sWomen's (lives of constant #Patriarchy #Misogyny #Discrimination #Sexism #Ageism #Inequality) = #StatePensio\xe2\x80\xa6""",1389370343614304261,140,2021-05-04 00:04:37,,,en,Twitter for Android,0,10
89,b'RT @DingaBelle: \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87 Love this brilliant/informative Thread @KrisGibson13 \xf0\x9f\x91\x8d\n\n#50sWomen lived with constant #Patriarchy #Misogyny #Sexism #Di\xe2\x80\xa6',1389369388046995456,140,2021-05-04 00:00:50,,,en,Twitter for iPhone,0,20
90,"b""RT @DingaBelle: \xf0\x9f\x91\x8b Targeted #50sWomen's (lives of constant #Patriarchy #Misogyny #Discrimination #Sexism #Ageism #Inequality) = #StatePensio\xe2\x80\xa6""",1389368721823735815,140,2021-05-03 23:58:11,,,en,Twitter for iPad,0,10
91,b'RT @DingaBelle: \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87 Love this brilliant/informative Thread @KrisGibson13 \xf0\x9f\x91\x8d\n\n#50sWomen lived with constant #Patriarchy #Misogyny #Sexism #Di\xe2\x80\xa6',1389368487299145732,140,2021-05-03 23:57:15,,,en,Twitter for iPad,0,20
92,"b'@MikeHudema Very telling statement -- but please can we not use the term ""man"" like this any more? What\'s wrong with ""humans"" #sexism'",1389366411508649985,133,2021-05-03 23:49:00,,,en,Twitter Web App,7,0
93,b'RT @DingaBelle: \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc\xf0\x9f\x91\x87 Love this brilliant/informative Thread @KrisGibson13 \xf0\x9f\x91\x8d\n\n#50sWomen lived with constant #Patriarchy #Misogyny #Sexism #Di\xe2\x80\xa6',1389359638794153986,140,2021-05-03 23:22:05,,,en,Twitter Web App,0,20
94,b'RT @rkd993: @reclaimthenews @EmergencyBK #StayStrong Watch out for every dirty trick in the book to be used against you and the movement. T\xe2\x80\xa6',1389358941960736770,140,2021-05-03 23:19:19,,,en,Twitter for iPhone,0,5
95,"b""News: Bill and Melinda are getting divorced.\nWomen: Oh, that sucks. I mean, it happens, but it's really sad to see people who have been together so long split up.\nMen: Ha! She looks like Kevin Kline.\n\n#Sexism #MenAndWomen #GatesDivorce""",1389358603195219969,235,2021-05-03 23:17:58,,,en,Twitter Web App,2,0
